sn1_holding+filling,sn1_max,sn2_holding+filling,sn2_max,sn3_holding+filling,sn3_max,sn4_holding+filling,sn4_max
328.2107016,88.4,303.5678133,87.60005571,227.0224042,84.21916869,204.6405143,82.19630503
327.6945689,88.4,308.6107656,88.93588012,233.4101847,85.77821439,209.5649984,84.08308271
259.8570649,67.6,223.182181,63.18267359,142.8361278,56.60790785,121.2824386,52.86754845
259.1878667,67.6,226.3205999,64.13715731,146.9024426,59.10875638,125.0805565,56.34355317
258.4126631,67.6,230.0139948,65.02207793,152.6396841,61.27578646,130.3186913,59.23643354
298.2550495,78,262.9058822,74.68312225,184.0072046,69.40292019,163.492427,66.08929011
297.5999226,78,266.4176462,75.49557186,187.2870427,71.40224334,165.2273403,69.14370217
296.8098993,78,270.5233769,78.42486899,192.4779115,74.99444114,168.8932143,73.40745571
336.6510929,88.4,303.3070972,85.80531797,224.4359994,81.4848515,203.7458851,78.80878299
336.0102868,88.4,306.4617533,87.16397852,228.3184153,83.68958066,205.434686,81.86403459
333.4406082,88.4,304.644449,89.94521951,231.4792348,87.01459192,207.810411,85.50026461
251.9399888,67.6,211.9865847,63.78609138,139.3251593,57.26207666,119.8418754,53.77934054
245.0447184,67.6,215.3825136,64.10329319,144.3709236,59.20204424,124.436457,56.5129719
245.9089041,67.6,226.0438372,65.0435309,151.0522779,61.2739013,129.2007176,59.21633656
289.2536917,78,248.7016244,74.96396493,177.4613377,69.85100622,158.9251553,66.72157421
281.3380899,78,253.3681811,75.4244919,182.6204715,71.37616429,162.0752597,69.13403688
282.4649173,78,265.4631838,77.04988303,190.728627,73.95771547,168.495146,72.1561839
326.5624243,88.4,286.3559862,85.85375291,214.6370138,81.60422653,195.3409662,78.98923325
317.6486256,88.4,291.1312743,88.29837213,219.5452576,84.58882442,198.743813,82.7629791
318.9700744,88.4,304.1902428,89.21297788,231.1176484,86.613539,207.8557277,85.33310731
249.8161179,67.6,212.5047893,62.4983289,133.260511,55.23687249,111.1720211,55.20500412
247.9175834,67.6,216.4805542,63.11231285,139.3552365,56.27525403,117.7056757,52.40552873
248.2291482,67.6,219.2567339,64.26266915,143.6476692,58.65267232,122.0497911,55.61377759
286.3568461,78,249.9013047,73.679772,172.232451,65.9361659,151.1282923,61.77294728
284.3107724,78,254.5847854,74.27449193,178.2913226,68.31980382,157.641922,64.98998979
284.7901666,78,257.9475043,75.746368,182.0626578,70.95579291,160.7152531,68.34576518
322.8900933,88.4,287.9263072,84.61599145,212.5035642,78.39400268,191.7643484,74.78257284
320.7008499,88.4,292.7861477,85.43097697,216.5239429,80.45949511,195.6287454,77.57157851
321.8142055,88.4,304.3844808,87.00914679,225.3137187,83.11311196,202.7891843,80.81848543
261.2233273,67.6,220.7333572,62.45975026,135.7036328,55.29293463,112.9392377,55.89680211
260.7254709,67.6,223.6972607,62.9612744,140.1360169,56.45274571,117.8356157,52.90163661
259.8883004,67.6,226.5518326,64.14519432,145.3542216,59.02906926,123.3128535,56.17365316
299.6295036,78,260.0134139,73.28551334,176.5285436,66.1760551,154.8507104,62.23306457
299.1987628,78,263.4422971,74.25029766,180.9118753,68.68608255,159.4067792,65.6005667
298.3517288,78,266.2036769,74.80703274,185.7265118,70.21122286,163.5670174,67.68965417
338.0327071,88.4,299.3288464,84.71209013,217.6942996,78.72255678,196.6262417,75.28410069
337.6700949,88.4,302.935351,85.05569835,221.7498294,80.05868746,199.9177265,77.07068879
324.877331,88.4,289.7761409,88.625997,216.9658526,84.90015464,195.576568,83.23171545
247.7220355,67.6,216.6253657,62.30870632,133.9930584,55.5514524,111.9773208,56.43824904
252.3565735,67.6,212.4728739,63.16167765,138.6715823,56.4527323,118.286929,52.9425411
245.3642645,67.6,215.0416695,64.05423572,142.3004058,59.00183637,121.626781,56.32521835
284.1385266,78,254.9298096,73.13651532,174.258432,65.85708453,152.9672368,61.79301972
289.668669,78,249.0651334,74.44142848,175.8846202,68.73074212,156.4088879,65.58583679
281.6477043,78,252.0250459,75.00581474,179.6198997,70.39203836,159.1333858,67.92428012
320.5541297,88.4,293.3113517,84.81031464,213.9793641,78.72234778,193.9226342,75.39143834
326.9759506,88.4,286.309797,85.60508915,212.7767548,80.81025538,193.4714574,78.14970255
319.1200353,88.4,305.8970595,86.29703002,226.1485107,82.62904153,203.4384885,80.59384527
252.9192213,67.6,217.6460696,63.99396899,143.0058985,57.84164351,122.6380903,54.57726241
247.593618,67.6,224.8297871,64.80027269,149.0691096,60.20819963,127.5076866,57.56494763
252.2222713,67.6,228.1663881,65.42536875,154.2474698,61.95704362,131.9435681,60.08720257
290.2341208,78,255.3087408,74.9494917,181.5178799,69.98397466,161.3763831,66.86953276
284.2040992,78,264.8226338,75.70344197,189.3323754,71.93047877,167.1457593,69.81102751
289.6585119,78,267.6473709,76.78339124,194.3421824,73.84873778,171.4388126,72.14864098
