time,probe,pressure
0.256751,sn1,40.4265
0.291208,sn1,47.1757
0.325717,sn1,52.824
0.358212,sn1,56.8107
0.401186,sn1,60.6033
0.427621,sn1,62.3035
0.49298,sn1,65.0832
0.533183,sn1,66.1029
0.579417,sn1,66.8655
0.632586,sn1,67.39
0.691072,sn1,67.7143
0.755406,sn1,67.8813
0.826174,sn1,67.9576
0.904019,sn1,67.9875
0.989649,sn1,67.9971
1.08384,sn1,67.9995
1.18745,sn1,67.9999
1.30142,sn1,67.9999
1.42679,sn1,67.9999
1.5647,sn1,67.9999
1.7164,sn1,67.9999
1.88327,sn1,67.9999
2.06682,sn1,67.9999
2.26873,sn1,67.9999
2.47266,sn1,67.9999
2.67863,sn1,67.9999
2.88665,sn1,67.9999
3.09676,sn1,67.9999
3.30897,sn1,67.9999
3.5233,sn1,67.9999
3.73977,sn1,67.9999
3.95841,sn1,67.9999
3.95841,sn1,67.9999
3.99089,sn1,57.9999
4.01072,sn1,47.9999
4.03352,sn1,38.4826
4.05974,sn1,29.7079
4.08989,sn1,21.9179
4.12457,sn1,15.3085
4.16445,sn1,9.99971
4.21032,sn1,6.01178
4.26306,sn1,3.25463
4.32107,sn1,1.53808
4.38489,sn1,0.645744
4.45509,sn1,0.233645
4.53231,sn1,0.0696276
4.61725,sn1,0.0158616
4.71069,sn1,0.00238854
4.81347,sn1,0.000156797
4.92652,sn1,0
5.05089,sn1,0
5.18768,sn1,0
5.33816,sn1,0
5.50369,sn1,0
5.68577,sn1,0
5.88606,sn1,0
6.08835,sn1,0
6.29266,sn1,0
6.49902,sn1,0
6.70743,sn1,0
6.91794,sn1,0
7.13055,sn1,0
7.34528,sn1,0
7.56216,sn1,0
7.78122,sn1,0
8.00246,sn1,0
8.22591,sn1,0
8.4516,sn1,0
8.67955,sn1,0
8.90977,sn1,0
9.1423,sn1,0
9.37715,sn1,0
9.61435,sn1,0
9.85392,sn1,0
10.0959,sn1,0
10.3403,sn1,0
10.5871,sn1,0
10.8364,sn1,0
11.0882,sn1,0
11.3425,sn1,0
11.5994,sn1,0
11.8588,sn1,0
12.1208,sn1,0
12.3855,sn1,0
12.6527,sn1,0
12.9227,sn1,0
13.1954,sn1,0
13.4707,sn1,0
13.7489,sn1,0
14.0298,sn1,0
14.3135,sn1,0
14.6001,sn1,0
14.7522,sn1,0
14.7522,sn1,0
0.091977,sn2,0.397521
0.0944151,sn2,1.38919
0.0965266,sn2,1.93237
0.0990223,sn2,2.42032
0.101164,sn2,2.78053
0.103574,sn2,3.133
0.106257,sn2,3.50253
0.108165,sn2,3.73671
0.111207,sn2,4.08387
0.113454,sn2,4.32355
0.115728,sn2,4.54402
0.118015,sn2,4.75562
0.120679,sn2,5.00596
